,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
114,TECHNICAL TROUBLESHOOTING_POCO_CAMERA APP NOT LAUNCHING,OTHERS_UNSUPPORTED_RE-DIRECTED TO POCO,0.023793787177792465,0.48314606741573035,0.014540647719762063,0.6111111111111112,1.264857881136951,0.0030447730158848045,1.3290529695024076
73,ORDER RELATED ENQUIRY_POCO_REPAIR ENQUIRY,TECHNICAL COMPLAINT_FOLLOW UP_FOLLOW UP ON COMPLAINT,0.046265697290152015,0.05750165234633179,0.026437541308658295,0.5714285714285714,9.9376026272578,0.02377718726751935,2.1991628111918926
0,ORDER RELATED COMPLAINT_MI PHONE_DELAY IN DELIVERY,ORDER RELATED COMPLAINT_FOLLOW UP_FOLLOW UP ON COMPLAINT,0.02511566424322538,0.1116986120290813,0.013879709187045605,0.5526315789473685,4.947524135783246,0.011074324350888905,1.9856148672291127
67,ORDER RELATED ENQUIRY_MI TV & MI BOX_TV INSTALLATION METHODS,OTHERS_UNSUPPORTED_RE-DIRECTED TO POCO,0.034368803701255786,0.48314606741573035,0.018506278916060808,0.5384615384615384,1.1144901610017888,0.001901126566015876,1.1198501872659175
104,TECHNICAL FEEDBACK_MI PHONE_SPARE PARTS ENQUIRY,OTHERS_UNSUPPORTED_RE-DIRECTED TO POCO,0.027098479841374753,0.48314606741573035,0.014540647719762063,0.5365853658536586,1.1106069200226887,0.0014481237514574058,1.1153163808397397
2,ORDER RELATED COMPLAINT_MI PHONE_DELAY IN DISPATCH FROM WAREHOUSE,ORDER RELATED COMPLAINT_FOLLOW UP_FOLLOW UP ON COMPLAINT,0.02247191011235955,0.1116986120290813,0.011896893588896233,0.5294117647058824,4.739644970414202,0.009386812419703395,1.8876404494382024
40,TECHNICAL TROUBLESHOOTING_ACCESSORIES_UNABLE TO UNPAIR THE BAND,ORDER RELATED ENQUIRY_ACCESSORIES_WARRANTY RELATED ENQUIRY,0.02511566424322538,0.11103767349636484,0.013218770654329148,0.5263157894736842,4.739974937343358,0.010429985728445564,1.8766982448410074
95,OTHERS_UNSUPPORTED_RE-DIRECTED TO POCO,TECHNICAL ENQUIRY_ACCESSORIES_HOW TO FACTORY RESET THE BAND,0.48314606741573035,0.25776602775941837,0.24256444150693984,0.5020519835841313,1.9477042337507453,0.11802579888160288,1.4905852574391898
36,TECHNICAL ENQUIRY_MI TV & MI BOX_HOW TO RESET THE TV,ORDER RELATED ENQUIRY_ACCESSORIES_WARRANTY RELATED ENQUIRY,0.02775941837409121,0.11103767349636484,0.013879709187045605,0.5,4.502976190476191,0.010797367953174274,1.7779246530072703
14,ORDER RELATED COMPLAINT_MI PHONE_DELAY IN DISPATCH FROM WAREHOUSE,ORDER RELATED ENQUIRY_MI PHONE_DELIVERY STATUS,0.02247191011235955,0.17184401850627892,0.011235955056179775,0.5,2.9096153846153845,0.007374291718960024,1.656311962987442
18,ORDER RELATED COMPLAINT_MI PHONE_REFUND-ORDER CANCELLED WITHOUT INFORMING CUSTOMER,ORDER RELATED ENQUIRY_MI PHONE_REFUND STATUS,0.031064111037673495,0.09781890284203569,0.01520158625247852,0.4893617021276596,5.002731454859115,0.012162928993010129,1.7667713152676803
70,ORDER RELATED ENQUIRY_POCO_REPAIR ENQUIRY,OTHERS_UNSUPPORTED_RE-DIRECTED TO POCO,0.046265697290152015,0.48314606741573035,0.02247191011235955,0.4857142857142857,1.00531561461794,0.00011882041037599225,1.0049937578027466
24,ORDER RELATED ENQUIRY_ACCESSORIES_RETURN POLICY/PRODUCT RETURN ENQUIRY,OTHERS_UNSUPPORTED_RE-DIRECTED TO POCO,0.03502974223397224,0.48314606741573035,0.016523463317911435,0.47169811320754723,0.9763053971039931,-0.0004010188850189743,0.9783306581059391
80,OTHERS_UNSUPPORTED_RE-DIRECTED TO PHONE SUPPORT,OTHERS_UNSUPPORTED_RE-DIRECTED TO POCO,0.041639127561136816,0.48314606741573035,0.019167217448777262,0.4603174603174603,0.952750092284976,-0.0009505632830079415,0.9576999339061465
72,TECHNICAL COMPLAINT_FOLLOW UP_FOLLOW UP ON COMPLAINT,ORDER RELATED ENQUIRY_POCO_REPAIR ENQUIRY,0.05750165234633179,0.046265697290152015,0.026437541308658295,0.45977011494252873,9.9376026272578,0.02377718726751935,1.7654230709735483
120,PRE-SALE ENQUIRY_ACCESSORIES_MRP ENQUIRY,TECHNICAL ENQUIRY_ACCESSORIES_HOW TO FACTORY RESET THE BAND,0.026437541308658295,0.25776602775941837,0.011896893588896233,0.45,1.7457692307692307,0.005082193582037849,1.3495163131646937
96,TECHNICAL ENQUIRY_MI PHONE_MIUI VERSION INQUIRY,OTHERS_UNSUPPORTED_RE-DIRECTED TO POCO,0.08592200925313946,0.48314606741573035,0.03767349636483807,0.43846153846153846,0.9075134168157424,-0.0038393845102742546,0.920424811451439
86,PRE-SALE ENQUIRY_MI PHONE_ONLINE CARD OFFERS,OTHERS_UNSUPPORTED_RE-DIRECTED TO POCO,0.026437541308658295,0.48314606741573035,0.011235955056179775,0.425,0.8796511627906977,-0.0015372390592394026,0.898876404494382
64,ORDER RELATED ENQUIRY_MI TV & MI BOX_REPAIR ENQUIRY,OTHERS_UNSUPPORTED_RE-DIRECTED TO POCO,0.036351619299405155,0.48314606741573035,0.014540647719762063,0.4,0.8279069767441861,-0.0030224941889393057,0.8614232209737827
